sentence_index,sentence_text,raw_label,label_id,label_name,score,specificity_0_1,specificity_-1_1,ma_specificity_0_1
0,Walmart Inc.,LABEL_1,1,LABEL_1,0.409163,0.475024,-0.059952,
1,"(NYSE:WMT) Q4 2025 Earnings Conference Call February 20, 2025 8:00 AM ET

Company Participants

Steph Wissink - SVP, IR
Doug McMillon - CEO
John David Rainey - CFO
John Furner - President & CEO, Walmart U.S.",LABEL_0,0,LABEL_0,0.406901,0.134277,-0.731446,
2,"Chris Nicholas - President & CEO, Sam's Club
Kath McLay - President & CEO, Walmart International

Conference Call Participants

Michael Lasser - UBS
Kate McShane - Goldman Sachs
Simeon Gutman - Morgan Stanley
Kelly Bania - BMO Capital Markets
Chuck Grom - Gordon Haskett
Mike Baker - D.A.",LABEL_0,0,LABEL_0,0.447043,0.147524,-0.704952,
3,"Davidson
Paul Lejuez - Citigroup
Seth Sigman - Barclays
Zhihan Ma - Bernstein
Edward Kelly - Wells Fargo
Robbie Ohmes - Bank of America
Corey Tarlowe - Jefferies
Rupesh Parikh - Oppenheimer

Operator

Greetings.",LABEL_1,1,LABEL_1,0.491145,0.502078,-0.005844,
4,Welcome to Walmart's Fourth Quarter Fiscal Year 2025 Earnings Call.,LABEL_1,1,LABEL_1,0.448175,0.487898,-0.034204,
5,[Operator Instructions] Please note this conference is being recorded.,LABEL_1,1,LABEL_1,0.528786,0.514499,0.018999,
6,"At this time, I'll now turn the conference over to Steph Wissink, Senior Vice President, Investor Relations.",LABEL_1,1,LABEL_1,0.468415,0.494577,-0.020846,
7,"Steph, you may begin.",LABEL_0,0,LABEL_0,0.476847,0.157359,-0.685281,
8,"Steph Wissink

Thank you.",LABEL_1,1,LABEL_1,0.595512,0.536519,0.063038,
9,"Welcome, everyone.",LABEL_0,0,LABEL_0,0.448797,0.148103,-0.703794,
10,We appreciate you joining us and your interest in Walmart.,LABEL_1,1,LABEL_1,0.533545,0.51607,0.02214,
11,"Joining me today from our home office in Bentonville are Walmart's CEO, Doug McMillon; and CFO, John David Rainey.",LABEL_1,1,LABEL_1,0.53706,0.51723,0.024459,
12,"Doug and John David will first share their views on the quarter, and then we'll open up the line for your questions.",LABEL_0,0,LABEL_0,0.627351,0.207026,-0.585948,
13,"During the question-and-answer portion, we will be joined by our segment CEOs, John Furner from Walmart U.S.; Kath McLay from Walmart International; and Chris Nicholas from Sam's Club.",LABEL_0,0,LABEL_0,0.468965,0.154759,-0.690483,
14,"For additional details on our results, including highlights by segment, please see our earnings release and accompanying presentation on our website.",LABEL_1,1,LABEL_1,0.384482,0.466879,-0.076242,
15,We will make every effort to answer as many of your questions as we can in the hour we have scheduled for this call.,LABEL_0,0,LABEL_0,0.539939,0.17818,-0.64364,
16,"As a courtesy to others, please limit yourself to one question.",LABEL_0,0,LABEL_0,0.553216,0.182561,-0.634877,
17,"Today's call is being recorded, and management may make forward-looking statements.",LABEL_0,0,LABEL_0,0.54819,0.180903,-0.638195,
18,These statements are subject to risks and uncertainties that could cause actual results to differ materially from these statements.,LABEL_0,0,LABEL_0,0.402058,0.132679,-0.734642,
