sentence_index,sentence_text,raw_label,label_id,label_name,score,relevance_0_1,relevance_-1_1,ma_relevance_0_1
0,Walmart Inc.,LABEL_2,2,LABEL_2,0.905144,0.968698,0.937395,
1,"(NYSE:WMT) Q4 2025 Earnings Conference Call February 20, 2025 8:00 AM ET

Company Participants

Steph Wissink - SVP, IR
Doug McMillon - CEO
John David Rainey - CFO
John Furner - President & CEO, Walmart U.S.",LABEL_2,2,LABEL_2,0.795958,0.932666,0.865333,
2,"Chris Nicholas - President & CEO, Sam's Club
Kath McLay - President & CEO, Walmart International

Conference Call Participants

Michael Lasser - UBS
Kate McShane - Goldman Sachs
Simeon Gutman - Morgan Stanley
Kelly Bania - BMO Capital Markets
Chuck Grom - Gordon Haskett
Mike Baker - D.A.",LABEL_2,2,LABEL_2,0.818256,0.940024,0.880049,
3,"Davidson
Paul Lejuez - Citigroup
Seth Sigman - Barclays
Zhihan Ma - Bernstein
Edward Kelly - Wells Fargo
Robbie Ohmes - Bank of America
Corey Tarlowe - Jefferies
Rupesh Parikh - Oppenheimer

Operator

Greetings.",LABEL_2,2,LABEL_2,0.771926,0.924736,0.849471,
4,Welcome to Walmart's Fourth Quarter Fiscal Year 2025 Earnings Call.,LABEL_2,2,LABEL_2,0.727206,0.909978,0.819956,
5,[Operator Instructions] Please note this conference is being recorded.,LABEL_1,1,LABEL_1,0.428999,0.48157,-0.046861,
6,"At this time, I'll now turn the conference over to Steph Wissink, Senior Vice President, Investor Relations.",LABEL_2,2,LABEL_2,0.472374,0.825883,0.651767,
7,"Steph, you may begin.",LABEL_2,2,LABEL_2,0.436976,0.814202,0.628404,
8,"Steph Wissink

Thank you.",LABEL_1,1,LABEL_1,0.494908,0.50332,-0.003361,
9,"Welcome, everyone.",LABEL_2,2,LABEL_2,0.468969,0.82476,0.64952,
10,We appreciate you joining us and your interest in Walmart.,LABEL_2,2,LABEL_2,0.487545,0.83089,0.66178,
11,"Joining me today from our home office in Bentonville are Walmart's CEO, Doug McMillon; and CFO, John David Rainey.",LABEL_2,2,LABEL_2,0.723882,0.908881,0.817762,
12,"Doug and John David will first share their views on the quarter, and then we'll open up the line for your questions.",LABEL_2,2,LABEL_2,0.531634,0.845439,0.690878,
13,"During the question-and-answer portion, we will be joined by our segment CEOs, John Furner from Walmart U.S.; Kath McLay from Walmart International; and Chris Nicholas from Sam's Club.",LABEL_2,2,LABEL_2,0.674579,0.892611,0.785222,
14,"For additional details on our results, including highlights by segment, please see our earnings release and accompanying presentation on our website.",LABEL_2,2,LABEL_2,0.625265,0.876337,0.752675,
15,We will make every effort to answer as many of your questions as we can in the hour we have scheduled for this call.,LABEL_2,2,LABEL_2,0.831033,0.944241,0.888482,
16,"As a courtesy to others, please limit yourself to one question.",LABEL_2,2,LABEL_2,0.442867,0.816146,0.632292,
17,"Today's call is being recorded, and management may make forward-looking statements.",LABEL_2,2,LABEL_2,0.574128,0.859462,0.718925,
18,These statements are subject to risks and uncertainties that could cause actual results to differ materially from these statements.,LABEL_2,2,LABEL_2,0.722352,0.908376,0.816752,
19,"These risks and uncertainties include, but are not limited to, the factors identified in our filings with the SEC.",LABEL_2,2,LABEL_2,0.859306,0.953571,0.907142,0.84809
20,Please review our press release and accompanying slide presentation for a cautionary statement regarding forward-looking statements as well as our entire safe harbor and non-GAAP reconciliations on our website at stock.walmart.com.,LABEL_2,2,LABEL_2,0.491868,0.832316,0.664633,0.841271
21,"Doug, that concludes my intro.",LABEL_1,1,LABEL_1,0.432462,0.482712,-0.044575,0.818773
22,We're ready to begin.,LABEL_1,1,LABEL_1,0.48385,0.499671,-0.010659,0.796755
23,"Doug McMillon

Good morning, and thanks for joining us.",LABEL_2,2,LABEL_2,0.741486,0.914691,0.829381,0.796253
24,We finished the year with another quarter of strong results.,LABEL_2,2,LABEL_2,0.565065,0.856471,0.712943,0.793578
25,Our associates are doing a great job serving our customers and members.,LABEL_2,2,LABEL_2,0.715446,0.906097,0.812195,0.814804
26,"For the quarter, we had sales growth of 5.2% and adjusted operating income was up 9.4% in constant currency.",LABEL_2,2,LABEL_2,0.961698,0.98736,0.974721,0.822878
27,We continue to gain market share across countries and income levels.,LABEL_2,2,LABEL_2,0.765742,0.922695,0.84539,0.828302
28,"As with the first three quarters of the year, transaction counts and unit volumes were up across markets.",LABEL_2,2,LABEL_2,0.697081,0.900037,0.800074,0.848138
29,"As we look at our results for the quarter and the year, we're pleased to see, first, a healthy top line.",LABEL_2,2,LABEL_2,0.738765,0.913793,0.827585,0.85259
30,We're strengthening our ability to serve people how they want to be served in the moment.,LABEL_2,2,LABEL_2,0.740294,0.914297,0.828594,0.85676
31,That's what's driving our growth.,LABEL_1,1,LABEL_1,0.479911,0.498371,-0.013259,0.836235
32,"Our prices are low, and we're becoming more convenient.",LABEL_2,2,LABEL_2,0.548197,0.850905,0.70181,0.836508
33,"Customers are shopping with us more often and buying more items, including in general merchandise categories, which were up low single digits in Walmart U.S.",LABEL_2,2,LABEL_2,0.949588,0.983364,0.966728,0.841046
34,and Sam's U.S.,LABEL_2,2,LABEL_2,0.584966,0.863039,0.726078,0.840381
35,for the quarter.,LABEL_2,2,LABEL_2,0.690788,0.89796,0.79592,0.838067
36,"Second, we're growing profit faster than sales, and we have runway to scale our higher-margin businesses like membership, marketplace and advertising.",LABEL_2,2,LABEL_2,0.908977,0.969962,0.939925,0.845758
37,"We're mixing ourselves up, while simultaneously investing in lower prices and associate wages.",LABEL_2,2,LABEL_2,0.504185,0.836381,0.672762,0.844603
