sentence_index,sentence_text,raw_label,label_id,label_name,score,specificity_0_1,specificity_-1_1,ma_specificity_0_1
0,Welcome everyone.,LABEL_1,1,LABEL_1,0.478538,0.497918,-0.014165,
1,Thank you for standing by for the Alphabet third quarter 2025 earnings conference call.,LABEL_1,1,LABEL_1,0.523621,0.512795,0.01559,
2,At this time all participants are in a listen only mode.,LABEL_1,1,LABEL_1,0.58931,0.534472,0.058944,
3,After the speaker presentation there will be a question and answer session.,LABEL_1,1,LABEL_1,0.464644,0.493332,-0.023335,
4,To ask a question during the session you will need to press Star one on your telephone.,LABEL_0,0,LABEL_0,0.529487,0.174731,-0.650538,
5,"I would now like to hand the conference over to your speaker today, Jim Friedland, Head of Investor Relations.",LABEL_1,1,LABEL_1,0.534384,0.516347,0.022694,
6,Please go ahead.,LABEL_0,0,LABEL_0,0.437869,0.144497,-0.711007,
7,Thank you.,LABEL_0,0,LABEL_0,0.475686,0.156976,-0.686047,
8,Good afternoon everyone and welcome to Alphabet's third quarter 2025 earnings conference call.,LABEL_1,1,LABEL_1,0.509232,0.508047,0.006093,
9,"With us today are Sundar Pichai, Philip Schindler and Anat Ashkenazi.",LABEL_1,1,LABEL_1,0.43642,0.484018,-0.041963,
10,Now I'll quickly cover the safe harbor.,LABEL_0,0,LABEL_0,0.544083,0.179547,-0.640905,
11,Some of the statements that we make today regarding our business operations and financial performance may be considered forward looking.,LABEL_0,0,LABEL_0,0.542018,0.178866,-0.642268,
12,Such statements are based on current expectations and assumptions that are subject to a number of risks and uncertainties.,LABEL_1,1,LABEL_1,0.438668,0.484761,-0.040479,
13,Actual results could differ materially.,LABEL_0,0,LABEL_0,0.41757,0.137798,-0.724404,
14,Please refer to our forms 10K and 10Q.,LABEL_0,0,LABEL_0,0.378434,0.124883,-0.750234,
15,"Including the risk factors, we undertake no obligation to update any forward looking statement.",LABEL_0,0,LABEL_0,0.42187,0.139217,-0.721566,
16,During this call we will present both GAAP and non GAAP financial measures.,LABEL_0,0,LABEL_0,0.475713,0.156985,-0.686029,
17,A reconciliation of non GAAP to GAAP measures is included in today's earnings press release which is distributed and available to the public through our investor relations website located at abc.,LABEL_1,1,LABEL_1,0.408527,0.474814,-0.060373,
18,Our comments will be on year over year comparisons unless we state otherwise.,LABEL_0,0,LABEL_0,0.596663,0.196899,-0.606203,
19,And now I'll turn the call over to Sundar.,LABEL_0,0,LABEL_0,0.514863,0.169905,-0.66019,0.31334
20,Thank you Jim Good afternoon everyone and thanks for joining us.,LABEL_0,0,LABEL_0,0.47654,0.157258,-0.685483,0.296307
21,This was a terrific quarter for Alphabet driven by double digit growth across every major part of our business.,LABEL_1,1,LABEL_1,0.518594,0.511136,0.012272,0.296224
22,We are seeing AI now driving real business results across the company.,LABEL_1,1,LABEL_1,0.49244,0.502505,-0.00499,0.294626
23,We delivered our first ever $100 billion quarter five years ago.,LABEL_2,2,LABEL_2,0.417691,0.807838,0.615676,0.310351
24,Our quarterly revenue was at 50 billion.,LABEL_2,2,LABEL_2,0.485626,0.830257,0.660513,0.343128
25,Our revenue number has doubled since then and we are firmly in the generative AI era.,LABEL_1,1,LABEL_1,0.458436,0.491284,-0.027432,0.341875
26,"In parallel, we've built for the long term and diversified with successful businesses in cloud, YouTube and subscriptions.",LABEL_2,2,LABEL_2,0.440816,0.815469,0.630939,0.375423
27,Our momentum is strong and we are shipping at speed.,LABEL_1,1,LABEL_1,0.751736,0.588073,0.166145,0.396978
28,"As just a few examples, our first party models like Gemini now process 7 billion tokens per minute via direct API use by our customers.",LABEL_2,2,LABEL_2,0.374633,0.793629,0.587258,0.411257
29,The Gemini app now has over 650 million monthly active users and queries increased by 3x from Q2.,LABEL_2,2,LABEL_2,0.426052,0.810597,0.621194,0.427586
30,Cloud had another great quarter of accelerating growth with AI revenue as a key driver.,LABEL_2,2,LABEL_2,0.37224,0.792839,0.585679,0.458251
31,Cloud backlog grew 46% quarter over quarter to $155 billion and we crossed 300 million paid subscriptions led by growth in Google One and YouTube Premium.,LABEL_2,2,LABEL_2,0.553561,0.852675,0.705351,0.491941
32,"Today I'll discuss progress in our full Stack approach to AI and then share highlights from Search, Cloud, YouTube and Waymo.",LABEL_0,0,LABEL_0,0.544368,0.179641,-0.640717,0.476685
33,"As a reminder, our full Stack approach spans AI infrastructure world class research including models and tooling and our products and platforms that bring AI to people everywhere.",LABEL_1,1,LABEL_1,0.362087,0.459489,-0.091022,0.49277
34,"First up, AI Infrastructure Our extensive and reliable infrastructure which powers all of Google's products is the foundation of our stack and a key differentiator.",LABEL_1,1,LABEL_1,0.366849,0.46106,-0.08788,0.509579
35,We are scaling the most advanced chips in our data centers including GPUs from our partner Nvidia as well as our own purpose built TPUs and we are the only company providing a wide range of both.,LABEL_1,1,LABEL_1,0.512925,0.509265,0.00853,0.528081
36,"As we announced Yesterday at Nvidia GTC, we are now shipping the new A4X Max instances powered by Nvidia GB300 to our cloud customers.",LABEL_1,1,LABEL_1,0.509931,0.508277,0.006554,0.545646
37,Our highly sought after TPU portfolio is led by our seventh generation TPU Ironwood which will be generally available soon.,LABEL_1,1,LABEL_1,0.539774,0.518126,0.026251,0.547811
38,We are investing in TPU capacity to meet the tremendous demand we are seeing from customers and partners and we are excited that Anthropic recently shared plans to Access up to 1 million TPUs next world class AI research including models and tooling.,LABEL_2,2,LABEL_2,0.426888,0.810873,0.621746,0.57851
39,Our models are world leading.,LABEL_1,1,LABEL_1,0.576931,0.530387,0.050774,0.596534
40,"Gemini 2.5 Pro, VO Genie 3 and our viral sensation Nanobanana are among the very best in class.",LABEL_1,1,LABEL_1,0.513221,0.509363,0.008726,0.614139
41,Over 230 million videos have been generated with VO3 and more than 13 million developers have built with our generative models.,LABEL_2,2,LABEL_2,0.456776,0.820736,0.641472,0.629619
42,We are looking forward to the release of Gemini 3 later this year.,LABEL_1,1,LABEL_1,0.547335,0.520621,0.031241,0.630525
43,Our research leadership is advancing Next Frontier technologies.,LABEL_1,1,LABEL_1,0.461782,0.492388,-0.025224,0.614752
44,"Last week we announced that our Willow Quantum chip achieved a major breakthrough running an algorithm 13,000 times faster than one of the world's best supercomputers.",LABEL_1,1,LABEL_1,0.516685,0.510506,0.011012,0.598765
45,"And the result is verifiable, paving the way to future practical applications.",LABEL_1,1,LABEL_1,0.569112,0.527807,0.045614,0.600591
46,"Speaking of quantum, let me congratulate Michel Devray, our chief scientist for quantum hardware.",LABEL_0,0,LABEL_0,0.475668,0.15697,-0.686059,0.567666
